"9.2.1   Huishoudelijk afval (kg/inwoner), 2014-2018",,,,,
,,,,,
,2014,2015 1),2016 1),2017 1),2018 1)
,,,,,
huishoudelijk restafval,287.1,278.8,256.3,250.1,244.0
grof huishoudelijk restafval,56.3,38.8,66.2,63.9,68.8
verbouwingsrestafval,9.3,5.4,5.1,5.3,6.0
"groente-, fruit- en tuinafval",0.7,0.5,0.5,0.7,0.5
oud papier en karton,27.1,26.6,22.5,21.3,20.7
verpakkingsglas,21.0,18.5,17.8,17.5,18.0
textiel,2.8,3.1,3.4,3.5,3.6
klein chemisch afval,0.5,0.6,0.6,0.3,0.3
kunststof verpakkingen/PMD-fractie,1.7,2.0,2.6,3.1,3.5
afgedankte elektr(on)ische apparaten,1.9,1.8,1.6,1.5,1.4
grof tuinafval,2.7,3.5,4.3,1.6,1.5
metalen,0.8,0.8,0.8,0.8,0.9
houtafval (A- en B-hout),9.1,11.8,13.1,4.9,6.1
schoon puin,3.8,3.5,2.9,3.4,3.2
overige afvalstoffen,2.1,3.1,0.9,2.8,2.7
totaal huishoudelijk afval,426.9,398.8,398.6,380.7,381.2
,,,,,
1) Voorlopige cijfers.,,,,,bron: CBS
,,,,,
,,,,,
,,,,,
