"Bron: Rijkswaterstaat, CBS.",,,
Via: https://afvalmonitor.databank.nl/Jive,,,
Over: scheidingspercentages en aangeboden huishoudelijk afval (kilo per inwoner) in de gemeenten van de Metropoolregio Amsterdam in de jaren 2012 t/m 2015.,,,
,,,
,,,
,,,
,,,
Gebieden,Perioden,Scheidingspercentage totaal huishoudelijk afval [Percentage],Totaal aangeboden huishoudelijk afval [Kilo's per inwoner]
Aalsmeer,2012,60.00%,536
Aalsmeer,2013,60.00%,512
Aalsmeer,2014,59.00%,488
Aalsmeer,2015,59.00%,495
Almere,2012,50.00%,501
Almere,2013,52.00%,472
Almere,2014,56.00%,480
Almere,2015,56.00%,464
Amstelveen,2012,46.00%,457
Amstelveen,2013,47.00%,445
Amstelveen,2014,48.00%,448
Amstelveen,2015,48.00%,434
Amsterdam,2012,13.00%,433
Amsterdam,2013,16.00%,423
Amsterdam,2014,17.00%,427
Amsterdam,2015,19.00%,399
Beemster,2012,54.00%,545
Beemster,2013,47.00%,469
Beemster,2014,51.00%,472
Beemster,2015,47.00%,443
Beverwijk,2012,32.00%,511
Beverwijk,2013,32.00%,495
Beverwijk,2014,33.00%,488
Beverwijk,2015,39.00%,531
Blaricum,2012,55.00%,533
Blaricum,2013,55.00%,512
Blaricum,2014,55.00%,518
Blaricum,2015,54.00%,506
Bloemendaal,2012,52.00%,557
Bloemendaal,2013,53.00%,543
Bloemendaal,2014,58.00%,553
Bloemendaal,2015,57.00%,549
Castricum,2012,59.00%,548
Castricum,2013,57.00%,529
Castricum,2014,58.00%,535
Castricum,2015,61.00%,540
Diemen,2012,29.00%,443
Diemen,2013,32.00%,417
Diemen,2014,33.00%,420
Diemen,2015,?,?
Edam-Volendam,2012,57.00%,637
Edam-Volendam,2013,57.00%,643
Edam-Volendam,2014,56.00%,637
Edam-Volendam,2015,55.00%,640
Gooise Meren,2012,55.00%,533
Gooise Meren,2013,55.00%,512
Gooise Meren,2014,55.00%,518
Gooise Meren,2015,54.00%,506
Haarlem,2012,33.00%,469
Haarlem,2013,31.00%,447
Haarlem,2014,30.00%,441
Haarlem,2015,32.00%,437
Haarlemmerliede c.a.,2012,32.00%,502
Haarlemmerliede c.a.,2013,36.00%,521
Haarlemmerliede c.a.,2014,34.00%,519
Haarlemmerliede c.a.,2015,37.00%,522
Haarlemmermeer,2012,52.00%,492
Haarlemmermeer,2013,52.00%,479
Haarlemmermeer,2014,51.00%,467
Haarlemmermeer,2015,53.00%,478
Heemskerk,2012,41.00%,485
Heemskerk,2013,42.00%,461
Heemskerk,2014,43.00%,464
Heemskerk,2015,50.00%,530
Heemstede,2012,58.00%,560
Heemstede,2013,58.00%,545
Heemstede,2014,58.00%,563
Heemstede,2015,58.00%,546
Hilversum,2012,55.00%,533
Hilversum,2013,55.00%,512
Hilversum,2014,55.00%,518
Hilversum,2015,54.00%,506
Huizen,2012,55.00%,533
Huizen,2013,55.00%,512
Huizen,2014,55.00%,518
Huizen,2015,54.00%,506
Landsmeer,2012,?,?
Landsmeer,2013,59.00%,623
Landsmeer,2014,49.00%,617
Landsmeer,2015,51.00%,549
Laren,2012,55.00%,533
Laren,2013,55.00%,512
Laren,2014,55.00%,518
Laren,2015,54.00%,506
Lelystad,2012,52.00%,552
Lelystad,2013,52.00%,520
Lelystad,2014,54.00%,517
Lelystad,2015,55.00%,528
Oostzaan,2012,61.00%,378
Oostzaan,2013,?,?
Oostzaan,2014,57.00%,519
Oostzaan,2015,54.00%,489
Ouder-Amstel,2012,68.00%,479
Ouder-Amstel,2013,67.00%,461
Ouder-Amstel,2014,?,?
Ouder-Amstel,2015,?,?
Purmerend,2012,39.00%,581
Purmerend,2013,40.00%,539
Purmerend,2014,40.00%,544
Purmerend,2015,42.00%,550
Uitgeest,2012,52.00%,508
Uitgeest,2013,54.00%,500
Uitgeest,2014,55.00%,538
Uitgeest,2015,54.00%,516
Uithoorn,2012,42.00%,534
Uithoorn,2013,46.00%,475
Uithoorn,2014,47.00%,487
Uithoorn,2015,49.00%,482
Velsen,2012,36.00%,508
Velsen,2013,37.00%,486
Velsen,2014,37.00%,486
Velsen,2015,40.00%,507
Waterland,2012,57.00%,628
Waterland,2013,55.00%,607
Waterland,2014,59.00%,596
Waterland,2015,57.00%,597
Weesp,2012,55.00%,533
Weesp,2013,55.00%,512
Weesp,2014,55.00%,518
Weesp,2015,54.00%,506
Wijdemeren,2012,55.00%,533
Wijdemeren,2013,55.00%,512
Wijdemeren,2014,55.00%,518
Wijdemeren,2015,54.00%,506
Wormerland,2012,46.00%,493
Wormerland,2013,46.00%,485
Wormerland,2014,51.00%,467
Wormerland,2015,50.00%,481
Zaanstad,2012,35.00%,466
Zaanstad,2013,36.00%,449
Zaanstad,2014,38.00%,456
Zaanstad,2015,40.00%,465
Zandvoort,2012,34.00%,533
Zandvoort,2013,31.00%,490
Zandvoort,2014,32.00%,505
Zandvoort,2015,35.00%,470
